transaction_id,customer_id,merchant_id,merchant_category,payment_method,location_type,hour,day_of_week,amount,failed_attempts_24h,txn_count_1h,txn_count_24h,account_age_days,previous_chargebacks,device_changed,ip_location_mismatch,is_fraud
TXN0000001,10860,527,restaurant,wallet,same_city,6,3,50.0,0,1,2,5,0,0,0,0
TXN0000002,11294,576,fashion,upi,same_state,20,4,115.15,0,2,7,902,0,0,0,0
TXN0000003,11130,620,travel,wallet,international,8,5,210.18,0,0,7,1577,0,0,0,0
TXN0000004,11095,502,grocery,wallet,same_state,13,3,496.11,0,1,6,1185,0,0,0,0
TXN0000005,11638,536,grocery,credit_card,same_city,14,1,126.05,0,0,6,1192,0,0,0,0
TXN0000006,12169,646,electronics,net_banking,same_city,22,3,339.91,0,0,4,464,0,0,0,0
TXN0000007,10466,591,jewelry,credit_card,different_state,18,2,176.65,1,0,8,1269,0,0,0,0
TXN0000008,11238,838,grocery,credit_card,same_city,9,4,103.96,1,0,9,1607,0,0,0,0
TXN0000009,10330,772,restaurant,credit_card,same_state,15,1,50.0,0,1,1,253,0,0,0,0
TXN0000010,11482,876,jewelry,net_banking,same_city,0,1,281.45,0,3,8,883,0,1,0,0
TXN0000011,12135,586,electronics,credit_card,same_city,6,0,230.67,0,2,10,1622,0,0,0,0
TXN0000012,12919,539,fuel,upi,same_state,10,1,199.15,0,0,2,1597,0,0,0,0
TXN0000013,10130,677,restaurant,credit_card,same_city,23,2,214.07,0,2,10,123,1,0,0,0
TXN0000014,11685,828,grocery,upi,same_city,14,0,57.31,0,1,6,819,0,1,0,0
TXN0000015,10769,784,fuel,credit_card,different_state,12,3,50.0,0,1,5,1906,0,0,0,0
TXN0000016,12391,541,grocery,wallet,same_city,18,6,55.38,0,2,8,1579,0,0,0,0
TXN0000017,11515,784,restaurant,credit_card,same_city,10,4,417.15,0,0,7,237,0,1,0,0
TXN0000018,12853,565,fashion,credit_card,same_city,12,4,70.62,0,2,5,1160,0,0,0,0
TXN0000019,12433,623,fuel,debit_card,same_city,7,1,94.7,0,1,4,1359,0,0,0,0
TXN0000020,11215,644,fuel,credit_card,same_city,21,6,50.0,0,3,8,1630,0,0,0,0
TXN0000021,10955,619,electronics,credit_card,same_city,9,4,68.14,0,1,5,1706,0,0,0,0
TXN0000022,12324,608,grocery,credit_card,same_city,15,3,107.25,0,0,5,716,0,0,1,0
TXN0000023,11184,591,restaurant,debit_card,same_city,16,6,441.1,0,1,3,1804,0,0,0,0
TXN0000024,10459,867,travel,credit_card,same_city,16,5,196.66,0,0,7,1022,0,0,0,0
TXN0000025,10021,807,gaming,net_banking,same_city,12,4,101.27,0,0,6,1837,0,0,1,0
TXN0000026,12300,559,fuel,upi,same_city,12,6,50.0,0,0,5,226,0,0,0,0
TXN0000027,10747,849,travel,credit_card,same_state,14,0,102.01,0,2,4,2235,0,0,1,0
TXN0000028,12904,726,grocery,credit_card,same_city,11,1,123.64,0,1,5,2179,0,0,0,0
TXN0000029,10474,739,crypto,net_banking,same_city,10,2,530.19,0,1,4,1811,0,0,1,0
TXN0000030,11082,711,gaming,credit_card,same_state,0,4,248.94,0,4,9,102,0,0,0,0
TXN0000031,12558,899,grocery,debit_card,different_state,2,4,144.02,0,1,11,1259,0,0,0,0
TXN0000032,12047,597,grocery,wallet,same_city,17,1,157.63,1,3,7,2322,0,0,0,0
TXN0000033,12747,513,crypto,debit_card,same_city,11,5,821.89,0,2,6,52,0,1,0,0
TXN0000034,10975,717,grocery,upi,same_city,0,0,50.0,0,0,1,2334,0,0,0,0
TXN0000035,11806,669,travel,debit_card,same_city,21,5,50.0,0,0,5,1009,0,0,0,0
TXN0000036,10189,806,travel,debit_card,same_city,19,1,142.09,0,0,8,1339,0,0,0,0
